cidade,nome_do_bar,endereco,imagem_prato,pagina_url,lat,lng
Belo Horizonte,Dona Ju Gastro Bar,"Rua dos Borges, 1520  | Jardim Vitória, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112354/donajugastrobar_coisadevo_isaquerodrigues_unibh-3289.jpg,https://comidadibuteco.com.br/buteco/dona-ju-gastro-bar/,-19.8448013,-43.8802121
Belo Horizonte,Dona Suica,"Av. João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112356/donasuica_porodegalaecostelanapanela_bh_2026_rodneycosta_unibh-4460.jpg,https://comidadibuteco.com.br/buteco/3157-revision-v1/,-19.8266913,-43.9627197
Belo Horizonte,Empório Laís,"Rua Olavo Andrade, 195 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112357/emporiolais_sanhodesalsa_bh_206_pauloti_unibh-5026.jpg,https://comidadibuteco.com.br/buteco/emporio-lais/,-19.8900135,-43.944951499999995
Belo Horizonte,Espetinho do Boi,"R. São Paulo da Cruz, 357 | Barreiro, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112459/espetinhodoboi_oraproboi_bh_2026_pauloti_unibh-4969.jpg,https://comidadibuteco.com.br/buteco/espetinho-do-boi/,-19.9814645,-44.0145401
Belo Horizonte,Espetinho do Tilias,"Praça Manoel Batista Baía, 235  | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112501/espetinhodotilias_vacaloucanahorta_bh_2026_rodneycosta_unibh-3561.jpg,https://comidadibuteco.com.br/buteco/espetinho-do-tilias/,-19.7998987,-43.983506399999996
Belo Horizonte,Espetinho Rei e Família,"Av. Guarapari, 1281 |  Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112503/espetinhoreiefamilia_musconobes_bh_2026_rodneycosta_unibh-4218.jpg,https://comidadibuteco.com.br/buteco/espetinho-rei-e-familia/,-19.8352421,-43.9748666
Belo Horizonte,Espetinho São Pedro QUIÓ,"Rua Cristina, 870 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112504/espetinhosaopedroquio_vulcaonooasisquio_bh_2026_rodneycosta_unibh-4430.jpg,https://comidadibuteco.com.br/buteco/espetinho-sao-pedro-quio/,-19.9464294,-43.9379354
Belo Horizonte,Espettinho.com,"R. Eli Seabra Filho, 510 | Buritis, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112506/espettinho.com_moeladatia_bh_2026_rodneycosta_unibh-4452.jpg,https://comidadibuteco.com.br/buteco/espetinho-com/,-19.9753926,-43.9766452
Belo Horizonte,Galpão Flor do Campo,"Rua Coronel Otávio Diniz, 449 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112608/galpaoflordocampo_espinafrouatrouxinha_bh_2026_rodneycosta_unibh-3862.jpg,https://comidadibuteco.com.br/buteco/galpao-flor-do-campo/,-19.9179595,-43.907123899999995
Belo Horizonte,Garagge Vintage,"Av. Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112610/garaggevintage_seriodobar_bh_2026_kaiqueamorim_unibh-3686.jpg,https://comidadibuteco.com.br/buteco/garagge-vintage/,-19.8315989,-43.954946899999996
