cidade;nome_do_bar;endereco;imagem_prato;pagina_url
Belo Horizonte;COSMOS;R. Vicente Risola, 1305 | Santa Inês, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112249/cosmos_firmamento_bh_2026_julianunes_unibh-3756.jpg;https://comidadibuteco.com.br/buteco/cosmos/
Belo Horizonte;Deck Boi na Brasa;R. Desembargador José Satyro, 302  | Manacás, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112350/deckboibabrasa_glugluabaiana_bh_2026_pauloti_unibh-4994.jpg;https://comidadibuteco.com.br/buteco/deck-boi-na-brasa/
Belo Horizonte;Dona Dora;R. Rio de Janeiro, 1205 | Centro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112352/donadora_giragosto_bh_2026_pauloti_unibh-4112.jpg;https://comidadibuteco.com.br/buteco/dona-dora/
Belo Horizonte;Dona Ju Gastro Bar;Rua dos Borges, 1520  | Jardim Vitória, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112354/donajugastrobar_coisadevo_isaquerodrigues_unibh-3289.jpg;https://comidadibuteco.com.br/buteco/dona-ju-gastro-bar/
Belo Horizonte;Dona Suica;Av. João Samaha, 390 | São João Batista (Venda Nova), Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112356/donasuica_porodegalaecostelanapanela_bh_2026_rodneycosta_unibh-4460.jpg;https://comidadibuteco.com.br/buteco/3157-revision-v1/
Belo Horizonte;Empório Laís;Rua Olavo Andrade, 195 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112357/emporiolais_sanhodesalsa_bh_206_pauloti_unibh-5026.jpg;https://comidadibuteco.com.br/buteco/emporio-lais/
Belo Horizonte;Espetinho do Boi;R. São Paulo da Cruz, 357 | Barreiro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112459/espetinhodoboi_oraproboi_bh_2026_pauloti_unibh-4969.jpg;https://comidadibuteco.com.br/buteco/espetinho-do-boi/
Belo Horizonte;Espetinho do Tilias;Praça Manoel Batista Baía, 235  | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112501/espetinhodotilias_vacaloucanahorta_bh_2026_rodneycosta_unibh-3561.jpg;https://comidadibuteco.com.br/buteco/espetinho-do-tilias/
Belo Horizonte;Espetinho Rei e Família;Av. Guarapari, 1281 |  Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112503/espetinhoreiefamilia_musconobes_bh_2026_rodneycosta_unibh-4218.jpg;https://comidadibuteco.com.br/buteco/espetinho-rei-e-familia/
Belo Horizonte;Espetinho São Pedro QUIÓ;Rua Cristina, 870 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112504/espetinhosaopedroquio_vulcaonooasisquio_bh_2026_rodneycosta_unibh-4430.jpg;https://comidadibuteco.com.br/buteco/espetinho-sao-pedro-quio/
Belo Horizonte;Espettinho.com;R. Eli Seabra Filho, 510 | Buritis, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112506/espettinho.com_moeladatia_bh_2026_rodneycosta_unibh-4452.jpg;https://comidadibuteco.com.br/buteco/espetinho-com/
Belo Horizonte;Galpão Flor do Campo;Rua Coronel Otávio Diniz, 449 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112608/galpaoflordocampo_espinafrouatrouxinha_bh_2026_rodneycosta_unibh-3862.jpg;https://comidadibuteco.com.br/buteco/galpao-flor-do-campo/
Belo Horizonte;Garagge Vintage;Av. Doutor Cristiano Guimarães, 1258 | Planalto, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112610/garaggevintage_seriodobar_bh_2026_kaiqueamorim_unibh-3686.jpg;https://comidadibuteco.com.br/buteco/garagge-vintage/
Belo Horizonte;Geraldin da Cida;Rua Contria, 1459 | Grajaú, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/02/12060043/cdb26_kv.png;https://comidadibuteco.com.br/buteco/geraldin-da-cida/
Belo Horizonte;Golden Grill;R. Amílcar Cabral, 515 | Milionários, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112612/goldengrill_coxasuprimeaoalhoporo_bh_2026_rodneycosta_unibh-4571.jpg;https://comidadibuteco.com.br/buteco/golden-grill/
Belo Horizonte;Graffica Bar;Av. Augusto de Lima, 233| Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112614/grafficabar_bolmcomnobris_bh_2026_pauloamorim_unibh-3381.jpg;https://comidadibuteco.com.br/buteco/graffica-bar/
Belo Horizonte;Iracema bar;R. Almandina, 56 | Santa Teresa, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112615/iracema_moelaaomolhocompeixinhodahortapronadar_bh_2026_pauloti_unibh-4030.jpg;https://comidadibuteco.com.br/buteco/iracema-bar/
Belo Horizonte;Ivo Grill;Rua Professor Tristão da Cunha, 183 | Planalto, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112717/ivogrill_ivoqueioporco_bh_2026_joaovictor_unibh-3950.jpg;https://comidadibuteco.com.br/buteco/ivo-grill/
Belo Horizonte;Já Tô Inno;R. Benjamim Dias, 379 | Barreiro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112719/jatoindo_tremdeminas_bh_2026_pauloti_unibh-5234.jpg;https://comidadibuteco.com.br/buteco/3165-revision-v1/
Belo Horizonte;Juzé Bar;R. Carlos Sá, 180| Jardim Atlântico, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112721/juzebar_charutofumacaefarofa_bh_2026_pauloti_unibh-3959.jpg;https://comidadibuteco.com.br/buteco/juze-bar/
Belo Horizonte;Köbes Emporium Bar;R. Professor Raimundo Nonato, 31 - A | Santa Tereza, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112724/kobesemporiumbar_prosaverdeeroxa_bh_2026_rodneycosta_unibh-4146.jpg;https://comidadibuteco.com.br/buteco/kobes-emporium-bar/
Belo Horizonte;Koqueiros Bar;Av. Silviano Brandão, 1293 | Sagrada Família, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112722/koqueirosbar_kostelinhatropical_bh_2026_juliacristine_unibh-3514.jpg;https://comidadibuteco.com.br/buteco/3169-revision-v1/
Belo Horizonte;Leo da Quadra;R. Oliveira Lisboa, 107 | Barreiro, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112825/leodaquadra_dijuei_bh_2026_pauloti_unibh-4097.jpg;https://comidadibuteco.com.br/buteco/leo-da-quadra/
Belo Horizonte;Locomotivas Bar;R. Carmésia, 568 | Santa Inês, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112827/locomotivasbar_porkimpopeye_bh_2026_rodneycosta_unibh-4302.jpg;https://comidadibuteco.com.br/buteco/locomotivas-bar/
Belo Horizonte;Magnífico Quintal;R. Doutor Jefferson de Oliveira, 56 | Santa Amélia, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112829/magnificoquintal_costelanasombradacouve_bh_2026_rodneycosta_unibh-4286.jpg;https://comidadibuteco.com.br/buteco/magnifico-quintal/
Belo Horizonte;Magrelo’s bar;Av. Serrana, 635 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112830/magrelosbar_avacanovinho_bh_2026_isaquerodrigues_unibh-3716.jpg;https://comidadibuteco.com.br/buteco/magrelos-bar/
